Episodes,B2,S3,B3,B1,S2,S1,episode_len
3135,9.740625,9.340625,10.37125,10.04625,9.611875,8.089375,7.33
3142,9.6375,9.299375,10.37125,10.06,9.655,8.176875,7.76
3160,9.629375,9.186875,10.365625,10.054375,9.7,8.26375,7.83
3169,9.629375,9.125,10.331875,10.054375,9.73375,8.325625,7.83
3171,9.409375,9.130625,10.331875,10.04875,9.54,8.339375,8.39
3173,9.33875,8.9875,10.331875,10.02375,9.565,8.353125,8.8
3174,9.22875,8.890625,10.331875,10.018125,9.570625,8.36,9.08
3176,9.00875,8.890625,10.331875,10.018125,9.376875,8.37375,9.64
3177,8.89875,8.890625,10.331875,10.018125,9.28,8.380625,9.92
3178,8.78875,8.890625,10.331875,10.018125,9.183125,8.3875,10.2
3180,8.56875,8.890625,10.331875,10.0125,8.989375,8.406875,10.76
3181,8.45875,8.79375,10.32625,10.006875,8.995,8.419375,11.04
3183,8.395,8.740625,10.320625,9.995625,8.90375,8.444375,11.44
3187,8.4175,8.6975,10.298125,9.984375,8.92625,8.47625,11.83
3199,8.301875,8.709375,10.28125,9.996875,8.924375,8.38625,11.82
3200,8.28125,8.71625,10.28125,9.996875,8.924375,8.4,11.96
3210,8.885625,8.78375,10.26625,10.11125,8.949375,8.80375,10.41
3211,8.885625,8.686875,10.26625,10.11125,8.949375,8.900625,10.41
3216,8.775625,8.63625,10.26625,10.175,8.921875,9.025,10.23
3225,9.105625,8.576875,10.300625,10.248125,8.825625,9.343125,9.44
3227,9.156875,8.473125,10.314375,10.261875,8.798125,9.395625,9.54
3230,9.318125,8.41875,10.328125,10.31625,8.76375,9.455,9.28
3238,9.318125,8.30125,10.335,10.350625,8.7225,9.5725,8.99
3239,9.381875,8.294375,10.335,10.385625,8.665625,9.5375,9.11
3241,9.381875,8.294375,10.329375,10.179375,8.56875,9.44625,9.65
3242,9.271875,8.294375,10.329375,10.18625,8.471875,9.44625,9.92
3247,9.170625,8.231875,10.374375,10.21625,8.450625,9.35625,10.37
3251,9.204375,8.231875,10.374375,10.24375,8.450625,9.295,10.42
3262,9.094375,8.228125,10.374375,10.2575,8.47125,9.174375,10.88
3282,10.375,8.48375,10.38,10.393125,9.34125,9.026875,7.4
3287,10.2575,8.545625,10.37375,10.444375,9.3475,9.03125,7.12
3288,10.2575,8.544375,10.379375,10.445625,9.341875,9.03125,7.12
3292,10.19375,8.38875,10.424375,10.471875,9.3625,8.95875,7.72
3308,10.25,8.4325,10.414375,10.575,9.37625,8.751875,7.18
3316,10.509375,8.605625,10.42,10.609375,9.396875,8.65875,6.45
3319,10.48875,8.605625,10.42,10.609375,9.410625,8.665625,6.62
3336,10.475,8.815,10.424375,10.67875,9.3275,8.679375,5.9
3355,10.7625,8.856875,10.385,10.895625,9.405,9.095,3.82
3379,10.768125,8.874375,10.34,10.964375,9.206875,9.24625,3.74
3412,10.878125,9.009375,10.508125,10.975625,8.959375,9.469375,2.32
3446,11.005625,9.01375,10.725,11.01,9.00125,9.244375,1.31
3465,11.0,8.804375,11.058125,11.003125,9.01375,9.120625,1.26
3469,10.89,8.759375,11.130625,11.003125,8.92375,9.093125,1.61
3471,10.78,8.773125,11.130625,10.978125,8.83375,9.104375,2.0
3481,10.78,8.683125,11.08375,10.86125,8.894375,9.0975,2.38
3498,10.71125,8.7725,11.00125,10.73625,8.940625,9.238125,2.59
3503,10.735,8.84125,10.96125,10.6675,8.9475,9.2475,2.75
3504,10.625,8.86875,10.93375,10.6775,8.8575,9.2375,3.04
3506,10.515,8.86875,10.93375,10.6775,8.7675,9.2375,3.56
3507,10.405,8.86875,10.93375,10.6775,8.6775,9.2375,3.85
3509,10.185,8.86875,10.93375,10.6775,8.4975,9.2375,4.43
3510,10.075,8.86875,10.93375,10.6775,8.4075,9.2375,4.72
3512,9.855,8.86875,10.93375,10.6775,8.2275,9.2375,5.3
3513,9.745,8.86875,10.926875,10.6775,8.1375,9.244375,5.59
3515,9.525,8.86875,10.913125,10.6775,7.9575,9.258125,6.17
3516,9.415,8.86875,10.90625,10.6775,7.8675,9.265,6.46
3518,9.195,8.86875,10.899375,10.6775,7.6875,9.271875,7.04
3520,9.085,8.86875,10.899375,10.658125,7.616875,9.271875,7.35
3522,9.074375,8.89625,10.899375,10.548125,7.51,9.271875,7.74
3524,8.998125,8.89625,10.9275,10.548125,7.38625,9.24375,8.22
3537,8.888125,8.89625,10.906875,10.548125,7.29625,9.264375,8.5
3571,9.108125,9.13,10.751875,10.59125,7.424375,9.194375,7.56
3596,9.176875,9.15125,11.00875,10.85625,7.256875,8.95,7.12
3624,10.89,8.985625,11.146875,11.05,8.8125,8.915,1.54
3643,10.989375,8.96875,11.1675,11.015625,8.9025,8.95625,1.45
3673,11.04,8.89,11.05875,11.01,8.95875,9.0425,1.48
3680,11.04,8.89,11.05875,10.970625,8.998125,9.0425,1.47
3690,10.985,8.855,11.065625,10.795625,9.00125,9.0975,1.98
3696,10.985,8.76875,11.0375,10.665,9.00125,9.1425,2.3
3721,10.950625,8.76125,11.043125,10.65125,9.00125,9.1925,2.42
3738,10.971875,8.80625,11.043125,10.685625,8.928125,9.165,2.47
3760,10.89375,8.789375,11.099375,10.696875,8.928125,9.1925,2.47
3765,10.910625,8.775,11.140625,10.67375,8.928125,9.171875,2.57
3767,10.91625,8.759375,11.184375,10.45375,8.804375,9.081875,3.15
3768,10.94,8.7525,11.074375,10.326875,8.714375,8.991875,3.42
3769,10.94,8.7525,10.964375,10.301875,8.739375,8.901875,3.71
3775,10.94,8.7525,10.744375,10.235625,8.805625,8.721875,4.37
3776,10.94,8.735625,10.744375,10.2525,8.805625,8.721875,4.53
3781,10.94,8.735625,10.725,10.2525,8.818125,8.72875,4.74
3782,10.94,8.72875,10.718125,10.149375,8.728125,8.735625,4.86
3785,10.995,8.625,10.49125,10.163125,8.638125,8.6875,5.42
3787,10.995,8.625,10.4775,10.163125,8.638125,8.70125,5.68
3788,10.995,8.619375,10.47625,10.06,8.638125,8.61125,5.96
3792,11.011875,8.57625,10.47625,9.95125,8.663125,8.52125,6.45
3794,11.023125,8.599375,10.47625,9.91,8.67,8.52125,6.54
3796,10.913125,8.70625,10.349375,10.0175,8.6725,8.34125,6.83
3798,10.958125,8.70625,10.309375,10.0175,8.7125,8.29625,7.05
3800,10.85375,8.724375,10.296875,10.000625,8.72375,8.200625,7.41
3803,10.766875,8.78875,10.319375,9.96875,8.755625,8.200625,7.86
3804,10.76125,8.82875,10.319375,9.85875,8.755625,8.07625,8.14
3806,10.54125,8.84125,10.319375,9.84625,8.755625,7.89625,8.7
3807,10.43125,8.84125,10.319375,9.84625,8.755625,7.80625,8.98
3810,10.32125,8.849375,10.319375,9.838125,8.755625,7.71625,9.56
3813,10.21125,8.875625,10.319375,9.811875,8.755625,7.62625,10.03
3821,10.25625,8.871875,10.319375,9.756875,8.755625,7.64,10.23
3822,10.14625,8.781875,10.319375,9.75,8.755625,7.646875,10.51
3823,10.114375,8.81375,10.319375,9.76,8.755625,7.636875,10.75
3825,9.91375,8.86625,10.3125,9.6375,8.813125,7.456875,11.31
3826,9.91375,8.86625,10.305625,9.5275,8.82,7.366875,11.48
3829,9.948125,8.86625,10.305625,9.25375,8.82,7.20625,12.06
3834,9.970625,8.89375,10.2775,9.21375,8.848125,7.19625,12.39
3843,10.043125,8.94875,10.2775,9.164375,8.848125,7.118125,12.57
3844,9.995,8.996875,10.2775,9.054375,8.848125,7.028125,12.86
3853,10.011875,9.019375,10.238125,8.939375,8.848125,6.943125,13.38
3875,9.965625,9.1125,10.62875,9.395,8.970625,7.3275,11.61
3885,9.965625,9.37125,10.881875,9.53625,9.138125,7.306875,10.09
3887,9.745625,9.2675,10.895625,9.44,9.138125,7.113125,10.39
3888,9.635625,9.17625,10.896875,9.5375,9.138125,7.215625,10.39
3893,9.503125,9.185625,10.91375,9.674375,9.100625,7.2225,10.32
3899,9.6725,9.124375,11.043125,9.738125,9.084375,7.5375,9.17
3901,9.5075,8.9625,11.055625,9.755,9.059375,7.46,9.38
3902,9.42375,8.943125,11.055625,9.760625,9.046875,7.37,9.51
3904,9.24375,8.939375,11.033125,9.86375,9.04,7.28,9.76
3905,9.24375,8.939375,11.033125,9.86375,9.04,7.28,9.76
3907,9.370625,8.8325,11.033125,9.734375,9.04,7.389375,9.76
3909,9.480625,8.825625,11.033125,9.61875,9.04,7.401875,9.56
3912,9.480625,8.824375,11.020625,9.613125,9.046875,7.414375,9.53
3930,9.766875,8.830625,10.9625,10.18125,9.07125,7.7875,7.34
3950,9.809375,8.620625,10.95625,10.499375,9.0875,8.026875,6.47
3968,9.815,8.533125,10.939375,10.5375,9.0875,8.0875,6.3
3970,9.815,8.534375,10.938125,10.5375,9.0875,8.0875,6.54
3972,9.723125,8.42625,10.924375,10.5825,9.094375,8.049375,7.08
3974,9.75125,8.38125,10.96375,10.5825,9.094375,8.026875,7.39
3987,9.97125,8.319375,10.943125,10.549375,9.14125,8.275625,7.12
4004,10.74125,8.481875,10.850625,10.44625,9.26375,8.81625,5.02
4009,10.99625,8.524375,10.83,10.656875,9.3175,9.075,4.01
4016,10.99625,8.505625,10.8425,10.634375,9.24125,9.18,3.92
4036,10.934375,8.535625,10.75125,10.52875,9.34625,9.30375,3.91
4056,10.76,8.783125,10.583125,10.329375,9.4975,9.446875,3.92
4068,10.754375,8.836875,10.5225,10.226875,9.53,9.529375,3.92
4070,10.644375,8.655625,10.52375,10.11,9.53,9.53625,4.26
4072,10.73625,8.76375,10.529375,10.065,9.524375,9.58125,3.84
4074,10.71375,8.785,10.38,9.99875,9.51875,9.60375,4.03
4076,10.558125,8.830625,10.38,10.07,9.511875,9.649375,4.14
4078,10.459375,8.729375,10.39375,10.05875,9.498125,9.660625,4.5
4079,10.465,8.6325,10.290625,9.955625,9.4925,9.56375,4.77
4080,10.355,8.5425,10.313125,9.95,9.505,9.534375,5.05
4082,10.250625,8.40375,10.203125,10.0,9.511875,9.430625,5.61
4083,10.25625,8.41625,10.190625,9.994375,9.50625,9.43625,5.89
4084,10.14625,8.423125,10.189375,9.994375,9.5075,9.339375,6.17
4086,9.92625,8.243125,10.14375,10.025,9.48375,9.378125,6.73
4090,9.905625,8.2775,10.07625,10.0525,9.516875,9.37125,6.96
4091,9.89875,8.2775,10.083125,9.949375,9.516875,9.274375,7.24
4093,9.78875,8.0975,9.876875,9.84625,9.51,9.080625,7.8
4094,9.67875,8.0075,9.876875,9.84625,9.51,9.080625,8.08
4095,9.67875,7.9175,9.88375,9.743125,9.503125,9.07375,8.36
4096,9.56875,7.8275,9.890625,9.72375,9.5225,9.066875,8.64
4098,9.34875,7.731875,9.949375,9.704375,9.541875,8.92375,9.2
4100,9.2675,7.78,9.96875,9.61375,9.516875,8.853125,9.56
4103,9.07,7.78,10.034375,9.68,9.405625,8.83,9.9
4104,9.109375,7.78,10.04125,9.685625,9.4,8.78375,10.1
4106,9.01625,7.786875,10.048125,9.705,9.380625,8.663125,10.57
4108,9.05,7.800625,10.04125,9.601875,9.28375,8.6225,11.05
4109,9.031875,7.81875,10.02875,9.49875,9.289375,8.5325,11.16
4111,9.209375,7.74125,10.0275,9.39,9.380625,8.45125,11.33
4113,9.061875,7.76625,10.0275,9.37875,9.380625,8.385,11.65
4114,8.951875,7.739375,10.0275,9.4125,9.37375,8.295,11.93
4115,8.951875,7.739375,9.94,9.364375,9.421875,8.3825,12.14
4118,8.731875,7.753125,9.92125,9.37125,9.374375,8.248125,12.75
4121,8.731875,7.7375,9.916875,9.290625,9.360625,8.1625,13.08
4130,8.754375,7.7375,9.958125,9.290625,9.29,8.169375,13.17
4141,8.814375,7.671875,10.111875,9.335,9.12375,8.143125,13.5
4156,8.896875,7.56875,10.231875,9.39,9.045,8.0675,13.5
4158,8.9025,7.56875,10.245625,9.286875,8.935625,8.060625,13.81
4160,8.70375,7.56875,10.259375,9.264375,8.943125,8.060625,14.35
4163,8.70375,7.589375,10.259375,9.175,8.9225,7.95,14.7
4181,9.276875,8.215625,10.24875,9.556875,8.941875,8.16,11.98
4187,9.568125,8.473125,10.404375,9.48875,8.936875,8.32875,10.43
