Episodes,S3,S1,B3,B2,B1,S2,episode_len
8782,8.633125,9.0325,11.425625,11.044375,11.051875,8.8125,2.55
8866,8.65875,9.02375,11.3275,11.075,11.0325,8.8825,2.48
8948,8.584375,9.075625,11.39,11.155,10.97625,8.81875,2.41
9031,8.713125,9.085,11.36125,11.038125,10.935,8.8675,2.36
9119,8.705625,8.960625,11.319375,11.156875,11.056875,8.800625,2.29
9203,8.6575,9.05625,11.309375,11.106875,11.08125,8.78875,2.39
9288,8.72625,9.108125,11.354375,10.971875,11.055,8.784375,2.34
9376,8.598125,9.043125,11.441875,11.0675,11.035625,8.81375,2.27
9463,8.60625,9.090625,11.364375,11.085,10.935,8.91875,2.35
9552,8.651875,9.02875,11.430625,11.0925,11.08125,8.715,2.22
9643,8.604375,9.09625,11.528125,11.11375,11.03,8.6275,2.22
9734,8.6475,9.00875,11.341875,11.164375,11.0425,8.795,2.22
9823,8.5575,9.0725,11.516875,11.156875,10.9525,8.74375,2.23
9917,8.641875,9.04875,11.439375,11.090625,11.000625,8.77875,2.15
10007,8.67625,9.048125,11.33125,11.125625,11.010625,8.808125,2.21
10101,8.555,9.031875,11.409375,11.058125,11.040625,8.905,2.13
10189,8.58,8.9825,11.45375,11.078125,11.05,8.855625,2.25
10279,8.64125,9.024375,11.369375,11.135,11.00375,8.82625,2.23
10372,8.62375,9.0575,11.463125,11.03,11.0025,8.823125,2.15
10464,8.625,9.06625,11.44125,10.993125,11.034375,8.84,2.17
10561,8.58625,9.00125,11.44375,11.11125,11.02625,8.83125,2.06
10659,8.63,9.02125,11.47,11.059375,10.970625,8.84875,2.07
10762,8.633495145631068,9.001820388349515,11.493325242718447,11.068567961165048,10.99635922330097,8.806432038834952,1.941747572815534
10861,8.5825,8.998125,11.464375,11.05,11.0475,8.8575,2.02
10960,8.489375,9.04625,11.54,11.106875,11.01375,8.80375,2.01
11054,8.54125,9.034375,11.405,11.1025,11.020625,8.89625,2.08
11150,8.618125,8.976875,11.421875,11.076875,11.0375,8.86875,2.1
11247,8.59625,9.025625,11.471875,11.075,10.96875,8.8625,2.06
11349,8.582107843137255,8.999387254901961,11.439950980392156,11.106004901960784,11.037377450980392,8.835171568627452,1.9509803921568627
11450,8.628712871287128,9.008044554455445,11.423267326732674,11.032178217821782,11.001237623762377,8.906559405940595,1.99009900990099
11541,8.5325,9.020625,11.453125,11.1,10.99125,8.9025,2.18
11646,8.52797619047619,9.035119047619048,11.511309523809524,11.061309523809523,11.05,8.814285714285715,1.8952380952380952
11741,8.716875,9.01625,11.454375,11.02375,10.93375,8.855,2.12
11843,8.626838235294118,9.020220588235293,11.481617647058824,11.133578431372548,10.897671568627452,8.840073529411764,1.9705882352941178
11944,8.56559405940594,9.006806930693068,11.452351485148515,11.04269801980198,11.058168316831683,8.874381188118813,1.9603960396039604
12045,8.696782178217822,9.042079207920793,11.444306930693068,11.004331683168317,10.932549504950495,8.879950495049505,1.99009900990099
12144,8.52875,9.009375,11.50625,11.099375,11.0,8.85625,2.03
12241,8.600625,9.021875,11.45875,11.043125,10.955,8.920625,2.04
12335,8.528125,9.01625,11.4825,11.018125,11.035,8.92,2.11
12437,8.559436274509803,8.966911764705882,11.511642156862745,11.107843137254902,11.007352941176471,8.846813725490197,1.9705882352941178
12538,8.508663366336634,8.995668316831683,11.494430693069306,11.074257425742575,11.048267326732674,8.878712871287128,1.9702970297029703
12635,8.5375,9.034375,11.4275,11.056875,11.0025,8.94125,2.07
12728,8.588125,8.960625,11.505,11.135,11.018125,8.793125,2.17
12823,8.73625,9.0,11.4575,10.991875,10.944375,8.87,2.13
12914,8.51625,8.98875,11.465625,11.08375,11.023125,8.9225,2.14
13015,8.533415841584159,8.906559405940595,11.550123762376238,11.098391089108912,11.016089108910892,8.895420792079207,1.99009900990099
13116,8.598391089108912,9.002475247524753,11.50309405940594,11.024752475247524,10.990099009900991,8.881188118811881,1.9702970297029703
13212,8.53875,9.013125,11.466875,11.04,11.01875,8.9225,2.09
13315,8.521844660194175,8.990291262135923,11.484830097087379,11.08252427184466,11.028519417475728,8.891990291262136,1.941747572815534
13406,8.536875,9.020625,11.443125,10.99375,11.03875,8.966875,2.16
13501,8.50125,8.988125,11.5175,11.04,11.029375,8.92375,2.09
13597,8.5425,9.024375,11.45875,11.024375,11.03875,8.91125,2.05
13691,8.515,8.960625,11.488125,11.065625,11.015625,8.955,2.15
13784,8.509375,8.97875,11.49125,11.1225,11.01375,8.884375,2.15
13879,8.5025,9.023125,11.46,11.0325,11.055625,8.92625,2.12
13974,8.526875,8.983125,11.4825,11.01375,11.0275,8.96625,2.08
14072,8.609375,9.008125,11.443125,11.0125,10.994375,8.9325,2.04
14176,8.547475961538462,9.001201923076923,11.454326923076923,11.03485576923077,11.00420673076923,8.957932692307692,1.9134615384615385
14271,8.506875,9.009375,11.4475,11.065625,11.045625,8.925,2.1
14365,8.535625,9.011875,11.41375,11.07125,11.0225,8.945,2.13
14461,8.534375,9.0175,11.43875,11.016875,11.030625,8.961875,2.07
14555,8.496875,8.940625,11.489375,11.065,11.07,8.938125,2.09
14658,8.532766990291263,8.924757281553399,11.524271844660195,11.024271844660195,11.009101941747574,8.984830097087379,1.9611650485436893
14755,8.66875,9.008125,11.39125,10.966875,10.99875,8.96625,2.06
14854,8.585,9.038125,11.443125,11.05,10.95125,8.9325,2.02
14949,8.536875,9.08375,11.455625,10.98375,10.964375,8.975625,2.12
15050,8.490099009900991,8.972153465346535,11.461014851485148,11.073019801980198,11.042079207920793,8.961633663366337,1.9801980198019802
15154,8.59375,8.984975961538462,11.443509615384615,11.006610576923077,10.992788461538462,8.978365384615385,1.9326923076923077
15253,8.616875,9.011875,11.441875,11.01,10.98125,8.938125,2.01
15348,8.5825,8.95625,11.455625,11.0375,10.985,8.983125,2.09
15452,8.576923076923077,8.994591346153847,11.423677884615385,11.048076923076923,11.010817307692308,8.945913461538462,1.9519230769230769
15557,8.528571428571428,8.994642857142857,11.42202380952381,11.027380952380952,11.054166666666667,8.973214285714286,1.9047619047619047
15665,8.640625,8.997106481481481,11.37673611111111,11.00173611111111,10.983796296296296,9.0,1.8425925925925926
15762,8.496875,8.963125,11.44875,11.09,11.016875,8.984375,2.08
15859,8.510625,9.01375,11.41625,11.043125,11.05,8.96625,2.04
15958,8.57,8.98875,11.46125,11.0275,11.03125,8.92125,2.03
16057,8.5825,8.99125,11.444375,11.02125,10.9875,8.973125,2.01
16163,8.537735849056604,8.99056603773585,11.482900943396226,10.995872641509434,10.97818396226415,9.014740566037736,1.8962264150943395
16265,8.553921568627452,9.001225490196079,11.438725490196079,11.014705882352942,11.00796568627451,8.983455882352942,1.9607843137254901
