Episodes,B3,B2,Sellers,B1,episode_len
8843,14.193125,12.4175,18.933125,14.25625,10.81
8861,14.239375,12.434375,18.853125,14.273125,10.52
8882,14.225625,12.44,18.97375,14.160625,10.41
8901,14.236875,12.423125,19.055,13.885,10.29
8922,14.2625,12.524375,19.026875,13.78625,10.14
8941,14.3,12.54125,18.973125,13.585625,10.21
8960,14.28625,12.546875,19.016875,13.55,10.19
8982,14.31,12.546875,19.0,13.743125,9.98
9000,14.33375,12.603125,18.855,14.008125,10.09
9020,14.31,12.56375,18.783125,14.143125,9.98
9043,14.304375,12.51875,18.82375,14.353125,9.68
9070,14.254375,12.575,18.82875,14.341875,9.07
9093,14.21875,12.614375,18.866875,14.3,8.68
9111,14.211875,12.601875,18.8325,14.35375,9.03
9134,14.1925,12.5625,18.915,14.33,8.89
9153,14.1925,12.54,18.97375,14.29375,9.17
9174,14.22125,12.39375,19.096875,14.288125,9.56
9189,14.196875,12.413125,19.088125,14.301875,10.43
9205,14.20375,12.324375,19.18125,14.290625,10.86
9228,14.183125,12.403125,19.089375,14.324375,10.75
9248,14.185625,12.414375,19.093125,14.306875,10.68
9267,14.17875,12.3975,19.016875,14.406875,10.71
9288,14.213125,12.3275,19.058125,14.40125,10.15
9311,14.215625,12.276875,19.114375,14.193125,9.44
9332,14.298125,12.3275,19.01125,14.163125,9.52
9348,14.309375,12.3275,18.935,14.028125,9.86
9371,14.308125,12.35,18.84875,13.893125,9.38
9395,14.285625,12.490625,18.66875,13.955,9.25
9417,14.286875,12.538125,18.578125,14.196875,9.5
9437,14.2825,12.4875,18.605,14.225,9.3
9461,14.24625,12.549375,18.809375,14.395,8.82
9483,14.3175,12.63375,18.72125,14.3275,8.94
9504,14.311875,12.67625,18.69,14.321875,9.21
9524,14.33875,12.633125,18.756875,14.27125,9.34
9546,14.311875,12.57125,18.683125,14.43375,9.17
9576,14.3,12.531875,18.8,14.368125,8.75
9599,14.25875,12.486875,18.884375,14.37,8.38
9626,14.250625,12.456875,18.934375,14.358125,7.83
9651,14.2825,12.445625,18.945625,14.32625,7.78
9679,14.225,12.5075,18.860625,14.406875,7.68
9703,14.245625,12.57125,18.791875,14.39125,7.77
9727,14.24125,12.63875,18.796875,14.323125,7.92
9757,14.245625,12.6975,18.73375,14.323125,7.56
9785,14.265625,12.658125,18.801875,14.274375,7.44
9815,14.246875,12.6575,18.75875,14.336875,7.08
9847,14.219375,12.765625,18.62,14.395,6.55
9881,14.1625,12.74625,18.648125,14.443125,6.3
9916,14.16,12.761875,18.635,14.443125,5.93
9946,14.19625,12.78,18.730625,14.293125,6.03
9981,14.26875,12.751875,18.696875,14.2825,5.98
10015,14.301875,12.751875,18.721875,14.224375,6.1
10053,14.303125,12.783125,18.6,14.31375,5.67
10078,14.294375,12.895625,18.501875,14.308125,6.2
10110,14.320625,12.861875,18.49125,14.32625,6.18
10146,14.2625,12.6775,18.65875,14.40125,6.39
10182,14.22375,12.604375,18.795,14.376875,5.54
10211,14.168125,12.649375,18.799375,14.383125,5.95
10244,14.175,12.716875,18.749375,14.35875,5.92
10274,14.185625,12.745,18.7375,14.331875,6.3
10310,14.2425,12.82625,18.51875,14.4125,6.02
10351,14.3025,12.864375,18.475,14.358125,5.6
10387,14.3275,12.925,18.428125,14.319375,5.25
10426,14.298125,12.874375,18.58125,14.24625,5.19
10466,14.27875,12.930625,18.514375,14.27625,5.07
10504,14.28125,12.830625,18.685,14.203125,5.01
10547,14.285625,12.741875,18.668125,14.304375,5.0
10593,14.204375,12.901875,18.570625,14.323125,4.71
10635,14.1625,12.838125,18.684375,14.315,4.45
10671,14.235,12.856875,18.634375,14.27375,4.82
10711,14.223125,12.764375,18.75125,14.26125,5.18
10753,14.1925,12.748125,18.84875,14.210625,4.96
10795,14.208125,12.67375,18.85875,14.259375,4.62
10840,14.235625,12.76625,18.71625,14.281875,4.61
10886,14.284375,12.818125,18.645,14.2525,4.71
10935,14.206875,12.853125,18.648125,14.291875,4.1
10985,14.146875,12.93875,18.6025,14.311875,3.96
11037,14.19625,12.92375,18.60125,14.27875,3.93
11091,14.24375,12.92375,18.581875,14.250625,3.73
11141,14.21875,12.8975,18.616875,14.266875,3.82
11185,14.198125,12.821875,18.735625,14.244375,4.33
11233,14.22375,12.95125,18.61875,14.20625,4.3
11285,14.205625,12.866875,18.71,14.2175,3.95
11337,14.150625,12.825,18.736875,14.2875,3.87
11388,14.20875,12.851875,18.635,14.304375,3.89
11440,14.261875,12.700625,18.7525,14.285,3.86
11493,14.226875,12.903125,18.601875,14.268125,3.85
11544,14.24125,12.885625,18.653125,14.22,3.85
11610,14.1925,12.62375,18.983125,14.200625,3.39
11667,14.153125,12.805,18.85375,14.188125,3.29
11726,14.25375,12.849375,18.73125,14.165625,3.45
11790,14.21375,12.886875,18.685,14.214375,3.16
11855,14.21625,12.920625,18.69375,14.169375,3.15
11916,14.1775,12.95,18.69375,14.17875,3.17
